"","plot.id","easting","northing","disp","ivfr","phau","scam","sppa","band2","band3","band4","band5","ndvi","evi","ndwi","savi"
"61",70,365679.2558,4303890.119,2,0,0,5,6,278,444,423,1934,0.641069155706406,1.58319362950545,-0.626576955424727,0.960992156031376
"62",71,365678.4592,4303890.003,2,0,0,5,6,278,444,423,1934,0.641069155706406,1.58319362950545,-0.626576955424727,0.960992156031376
"63",72,365678.4972,4303890.865,2,0,0,5,6,278,444,423,1934,0.641069155706406,1.58319362950545,-0.626576955424727,0.960992156031376
"64",81,365677.5484,4303815.197,3,0,0,4,1,249,383,352,1611,0.641365257259297,1.69722297115125,-0.615847542627884,0.961313311275134
"65",82,365677.512,4303814.014,3,0,0,4,1,249,383,352,1611,0.641365257259297,1.69722297115125,-0.615847542627884,0.961313311275134
"66",83,365676.5417,4303814.149,3,0,0,4,1,249,383,352,1611,0.641365257259297,1.69722297115125,-0.615847542627884,0.961313311275134
"67",84,365676.4647,4303815.027,3,0,0,4,1,249,383,352,1611,0.641365257259297,1.69722297115125,-0.615847542627884,0.961313311275134
"68",85,365676.3402,4303797.053,3,0,0,4,1,249,383,352,1611,0.641365257259297,1.69722297115125,-0.615847542627884,0.961313311275134
"69",86,365676.7038,4303796.153,3,0,0,4,1,249,383,352,1611,0.641365257259297,1.69722297115125,-0.615847542627884,0.961313311275134
"70",87,365675.2093,4303796.116,3,0,0,4,1,249,383,352,1611,0.641365257259297,1.69722297115125,-0.615847542627884,0.961313311275134
"71",88,365675.2037,4303796.898,3,0,0,4,1,249,383,352,1611,0.641365257259297,1.69722297115125,-0.615847542627884,0.961313311275134
"72",89,365865.8257,4304043.48,0,0,6,0,0,219,395,285,1326,0.646182495344507,1.8689407540395,-0.540964555490994,0.968372093023256
"73",90,365865.5223,4304042.596,0,0,6,0,0,219,395,285,1326,0.646182495344507,1.8689407540395,-0.540964555490994,0.968372093023256
"74",91,365864.6297,4304042.643,0,0,6,0,0,219,395,285,1326,0.646182495344507,1.8689407540395,-0.540964555490994,0.968372093023256
"75",91,365864.6297,4304042.643,0,0,6,0,0,219,395,285,1326,0.646182495344507,1.8689407540395,-0.540964555490994,0.968372093023256
"76",92,365864.6957,4304043.349,0,0,6,0,0,219,395,285,1326,0.646182495344507,1.8689407540395,-0.540964555490994,0.968372093023256
"77",92,365864.6957,4304043.349,0,0,6,0,0,219,395,285,1326,0.646182495344507,1.8689407540395,-0.540964555490994,0.968372093023256
"78",96,365867.9972,4304077.954,0,0,5,0,0,189,349,254,866,0.546428571428571,1.5748841996912,-0.425514403292181,0.818546589389211
"79",97,365868.1022,4304059.612,0,0,6,0,0,189,349,254,866,0.546428571428571,1.5748841996912,-0.425514403292181,0.818546589389211
"80",98,365867.6161,4304058.58,0,0,5,0,0,189,349,254,866,0.546428571428571,1.5748841996912,-0.425514403292181,0.818546589389211
"81",98,365867.6161,4304058.58,0,0,6,0,0,189,349,254,866,0.546428571428571,1.5748841996912,-0.425514403292181,0.818546589389211
"82",99,365866.864,4304058.725,0,0,5,0,0,189,349,254,866,0.546428571428571,1.5748841996912,-0.425514403292181,0.818546589389211
"83",99,365866.864,4304058.725,0,0,6,0,0,189,349,254,866,0.546428571428571,1.5748841996912,-0.425514403292181,0.818546589389211
"84",100,365867.193,4304059.695,0,0,5,0,0,189,349,254,866,0.546428571428571,1.5748841996912,-0.425514403292181,0.818546589389211
"85",100,365867.193,4304059.695,0,0,6,0,0,189,349,254,866,0.546428571428571,1.5748841996912,-0.425514403292181,0.818546589389211
"86",103,365867.8428,4304019.61,0,0,6,0,0,251,504,389,1942,0.666237666237666,1.62277951933124,-0.58789860997547,0.998713826366559
